date	AAPL	SPY	TSLA	MDA.TO	BA	LMT
2024-11-29	0.05170709666680162	0.05963352849401016	0.3814688622385134	0.2633803197790985	0.04105555544200512	-0.030473289386523605
2024-12-31	0.05515523359983643	-0.024060064566369554	0.17000808915631316	0.09736160736118915	0.1387030186564806	-0.07635283476672317
2025-01-31	-0.057583173533340526	0.026856128345390973	0.0018819576379678349	-0.21909925737418234	-0.0027118402685822884	-0.04731041212157594
2025-02-28	0.02587237501111206	-0.012694839644185052	-0.2758773935575025	0.006504753772948346	-0.010706998322587813	-0.027173587860710113
2025-03-31	-0.08150016089676093	-0.0557192122565362	-0.11543452131892018	0.18440331130856458	-0.023363693048011003	-0.0008053169812580752
2025-04-30	-0.0433530204439031	-0.008670056544183735	0.08874826236685496	-0.021098578702624105	0.07440634543732694	0.06948594378594786
2025-05-30	-0.053583975164119724	0.06284493303163585	0.2278848417863253	0.054998125255606656	0.13141236143410295	0.009691144409994745
2025-06-30	0.02150852755371435	0.051386230006752465	-0.08312644606383923	0.23670311254579923	0.010659807915316177	-0.03327206518804282
2025-07-31	0.011697625680163082	0.023031446515753284	-0.02955995259140498	0.1050982216622649	0.058750525606408255	-0.09103078371896534
2025-08-29	0.11963891239084878	0.02051948404438786	0.08304410748975077	0.1445876474397727	0.05787953727845219	0.08230791299651452
2025-09-30	0.09688125410892989	0.03562043418529992	0.33201547825406585	-0.21954514824363724	-0.08032210428252606	0.10364121657419512
2025-10-31	0.06181516967143552	0.02383730119762495	0.026623485126352042	-0.21004041311872856	-0.06861880847402568	-0.014683173465371624
2025-11-28	0.03236421756367314	0.0019500953167395085	-0.05780178787448975	-0.11614311524099086	-0.059795065252158275	-0.0691632737580351
2025-12-31	-0.02506728904622013	0.0007975029584423865	0.045447119005781245	0.10082638635473362	0.1487830429480821	0.06439118160594615
2026-01-30	-0.04553807543927224	0.014737728839574471	-0.04293782243658151	0.44256761207391815	0.07645544619027844	0.31126586169383463
2026-02-27	0.01906584775625153	-0.008641958340223965	-0.06482189925675397	0.02914386997113616	-0.026484692833631307	0.037621146617535794
2026-03-31	-0.03932929687093156	-0.04937956664344334	-0.07642048401115797	-0.108975920145026	-0.12525820838088642	-0.07674568501929802
2026-04-30	0.06919111547343992	0.10505268686597247	0.026577013807162153	0.17877409015306966	0.15073104649549252	-0.14298723818060466
2026-05-29	0.15108715221843583	0.05262575303750272	0.14191757191298504	0.4800192149070359	0.009256408018542661	0.02409409938377416
2026-06-30	-0.07274245453871875	-0.010292566443839024	-0.034856243015127464	-0.04684451999933237	-0.0635085142262879	-0.03328264165411032
2026-07-31	0.06756296301144094	0.00034817917005858234	-0.26008086795299534	-0.2757679226655386	-0.0015244691143981859	0.14383856565379438
2026-08-31	0.026587852979950588	0.0267994025821654	0.18232069120487515	-0.056786049137508954	-0.03867863715165698	-0.03691188913892318
2026-09-01	0.02613223487390992	-0.0068704238054380085	-0.03223268236356913	-0.01373967658837405	-0.010203075992118671	-0.023808614538641137
