asset	allocation
AAPL	8.515075962278035e-10
SPY	8.654117065137258e-10
TSLA	3.2403011698269147e-11
MDA.TO	0.9999999965018392
BA	8.740825203942954e-10
LMT	8.74755958678959e-10
