date	AAPL	SPY	TSLA	MDA.TO	BA	LMT
2024-10-31	224.03585815429688	557.1935424804688	249.85000610351562	21.299999237060547	149.30999755859375	517.7323608398438
2024-11-29	235.62010192871094	590.4209594726562	345.1600036621094	26.90999984741211	155.44000244140625	501.9553527832031
2024-12-31	248.61578369140625	576.2153930664062	403.8399963378906	29.530000686645508	177.0	463.629638671875
2025-01-31	234.29969787597656	591.6903076171875	404.6000061035156	23.059999465942383	176.52000427246094	441.69512939453125
2025-02-28	240.36158752441406	584.1788940429688	292.9800109863281	23.209999084472656	174.6300048828125	429.69268798828125
2025-03-31	220.77207946777344	551.62890625	259.1600036621094	27.489999771118164	170.5500030517578	429.3466491699219
2025-04-30	211.20094299316406	546.8462524414062	282.1600036621094	26.90999984741211	183.24000549316406	459.1802062988281
2025-05-30	199.8839569091797	581.2127685546875	346.4599914550781	28.389999389648438	207.32000732421875	463.63018798828125
2025-06-30	204.18316650390625	611.0791015625	317.6600036621094	35.11000061035156	209.52999877929688	448.2042541503906
2025-07-31	206.57162475585938	625.1531372070312	308.2699890136719	38.79999923706055	221.83999633789062	407.40386962890625
2025-08-29	231.28562927246094	637.98095703125	333.8699951171875	44.40999984741211	234.67999267578125	440.9364318847656
2025-09-30	253.69287109375	660.7061157226562	444.7200012207031	34.65999984741211	215.8300018310547	486.6356201171875
2025-10-31	269.37493896484375	676.45556640625	456.55999755859375	27.3799991607666	201.02000427246094	479.4902648925781
2025-11-28	278.0930480957031	677.7747192382812	430.1700134277344	24.200000762939453	189.0	446.3271484375
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	26.639999389648438	217.1199951171875	475.0666809082031
2026-01-30	258.775634765625	688.3120727539062	430.4100036621094	38.43000030517578	233.72000122070312	622.938720703125
2026-02-27	263.70941162109375	682.3637084960938	402.510009765625	39.54999923706055	227.52999877929688	646.3743896484375
2026-03-31	253.33790588378906	648.6688842773438	371.75	35.2400016784668	199.02999877929688	596.7679443359375
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	41.540000915527344	229.02999877929688	511.437744140625
2026-05-29	311.7911071777344	754.5361328125	435.7900085449219	61.47999954223633	231.14999389648438	523.7603759765625
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	58.599998474121094	216.47000122070312	506.3282470703125
2026-07-31	308.6438293457031	747.030029296875	311.2099914550781	42.439998626708984	216.13999938964844	579.1577758789062
2026-08-31	316.8500061035156	767.0499877929688	367.95001220703125	40.029998779296875	207.77999877929688	557.7799682617188
2026-09-01	325.1300048828125	761.780029296875	356.0899963378906	39.47999954223633	205.66000366210938	544.5
