month	price
2025-01-01	4.497
2025-02-01	4.1214
2025-03-01	3.6952
2025-04-01	3.7441
2025-05-01	3.4642
2025-06-01	3.2112
2025-07-01	3.1742
2025-08-01	3.457
2025-09-01	3.6096
2025-10-01	3.88
2025-11-01	4.398
2025-12-01	4.7982
