index	return	risk	AAPL	SPY	TSLA	MDA.TO	BA	LMT
0	0.013132893555688101	0.03328362670361145	0.07659437698848684	0.7516927939652932	0.0	1.0551146846589208e-19	0.03011253658593039	0.14160029246028955
1	0.013622838490910255	0.033567144518892846	0.08879941869542683	0.7553667439789806	0.0	0.007506946607765372	0.022548192425241437	0.1257786982925857
2	0.014112783426132407	0.03396154991454966	0.09185356341553468	0.7560574407092479	0.0	0.016707958860549293	0.014695169063415687	0.12068586795125257
3	0.01460272836135456	0.034439608652141795	0.09490770813564255	0.7567481374395149	0.0	0.025908971113333228	0.006842145701589942	0.11559303760991942
4	0.015092673296576714	0.034997976308529605	0.09823694589117196	0.756307396812854	0.0	0.03510823311394692	0.0	0.11034742418202691
5	0.015582618231798868	0.035638932039294954	0.1034281563699428	0.748208499761439	0.0	0.04429564849767064	0.0	0.10406769537094762
6	0.01607256316702102	0.03636178742508189	0.10861936684871343	0.7401096027100239	0.0	0.0534830638813943	0.0	0.09778796655986838
7	0.016562508102243172	0.03716176353765355	0.11381057732748412	0.7320107056586088	0.0	0.06267047926511794	0.0	0.09150823774878916
8	0.017052453037465325	0.03803399440430078	0.11900178780625482	0.7239118086071937	0.0	0.07185789464884168	0.0	0.08522850893770988
9	0.01754239797268748	0.03897362913689928	0.12419299828502559	0.7158129115557785	0.0	0.08104531003256538	0.0	0.07894878012663059
10	0.018032342907909633	0.03997591503006554	0.12938420876379625	0.7077140145043634	0.0	0.09023272541628906	0.0	0.07266905131555129
11	0.018522287843131785	0.041036261690336126	0.134575419242567	0.6996151174529482	0.0	0.09942014080001266	0.0	0.06638932250447212
12	0.01901223277835394	0.04215028755750963	0.13976662972133774	0.6915162204015332	0.0	0.10860755618373635	0.0	0.060109593693392804
13	0.019502177713576093	0.04331385096571335	0.14495784020010855	0.6834173233501178	0.0	0.11779497156746009	0.0	0.05382986488231358
14	0.019992122648798245	0.04452306825024055	0.1501490506788791	0.675318426298703	0.0	0.12698238695118372	0.0	0.04755013607123428
15	0.020482067584020398	0.045774321447591144	0.1553402611576498	0.6672195292472878	0.0	0.1361698023349074	0.0	0.041270407260155025
16	0.02097201251924255	0.04706328883254073	0.16007305173419753	0.6576673729032319	0.001963405521441967	0.14483132820261185	0.0	0.03546484163851684
