	AAPL	SPY	TSLA	MDA.TO	BA	LMT
AAPL	0.004014144553255246	0.0010530696213139298	0.002828758273090273	0.0010797347905619236	0.0001042215324063074	4.601814543165473e-05
SPY	0.0010530696213139298	0.0013796393938012316	0.002817614971804358	0.0018050934721026075	0.0011327798773077761	-0.0003114504828131801
TSLA	0.002828758273090273	0.002817614971804358	0.026124211134687	0.0047675552493565854	0.0029447072727152926	-0.00038809981229821603
MDA.TO	0.0010797347905619236	0.0018050934721026075	0.0047675552493565854	0.040949195436181134	0.0070849472782642834	0.0027158853125969725
BA	0.0001042215324063074	0.0011327798773077761	0.0029447072727152926	0.0070849472782642834	0.0060377374900261824	0.0006562470806526616
LMT	4.601814543165473e-05	-0.0003114504828131801	-0.00038809981229821603	0.0027158853125969725	0.0006562470806526616	0.00922696485333776
